s: 210.89.160.70, d: 192.168.0.82, seq: 3141269694
s: 210.89.160.70, d: 192.168.0.82, seq: 3141271142
s: 210.89.160.70, d: 192.168.0.82, seq: 3141274038
s: 210.89.160.70, d: 192.168.0.82, seq: 3141276934
s: 210.89.160.70, d: 192.168.0.82, seq: 3141278382
s: 210.89.160.70, d: 192.168.0.82, seq: 3141279830
s: 210.89.160.70, d: 192.168.0.82, seq: 3141281278
s: 210.89.160.70, d: 192.168.0.82, seq: 3141284174
s: 210.89.160.70, d: 192.168.0.82, seq: 3141287070
s: 210.89.160.70, d: 192.168.0.82, seq: 3141288518
s: 210.89.160.70, d: 192.168.0.82, seq: 3141292862
s: 210.89.160.70, d: 192.168.0.82, seq: 3141297206
s: 210.89.160.70, d: 192.168.0.82, seq: 3141301550
s: 210.89.160.70, d: 192.168.0.82, seq: 3141304446
s: 210.89.160.70, d: 192.168.0.82, seq: 3141305894
s: 210.89.160.70, d: 192.168.0.82, seq: 3141310238
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400973
s: 125.209.222.142, d: 192.168.0.82, seq: 582203316
s: 54.187.46.234, d: 192.168.0.82, seq: 2376729260
s: 54.187.46.234, d: 192.168.0.82, seq: 2376729260
s: 54.187.46.234, d: 192.168.0.82, seq: 2376730708
s: 54.187.46.234, d: 192.168.0.82, seq: 3281470824
s: 54.187.46.234, d: 192.168.0.82, seq: 3281470824
s: 54.187.46.234, d: 192.168.0.82, seq: 3281472272
s: 125.209.254.196, d: 192.168.0.82, seq: 2667219025
s: 125.209.254.196, d: 192.168.0.82, seq: 2667219892
s: 125.209.254.196, d: 192.168.0.82, seq: 2667221340
s: 125.209.254.196, d: 192.168.0.82, seq: 2667225638
s: 125.209.254.196, d: 192.168.0.82, seq: 2667228534
s: 125.209.254.196, d: 192.168.0.82, seq: 2667229934
s: 125.209.254.196, d: 192.168.0.82, seq: 2667231382
s: 125.209.254.196, d: 192.168.0.82, seq: 2667232830
